M,N,K,wave_tflops,triton_tflops,torch_tflops
706,5120,5120,211.512800,180.120800,346.205500
706,13824,5120,321.349800,373.712600,468.325000
706,5120,13824,276.076700,188.676700,451.344000
642,28672,8192,495.217100,326.828000,435.855500
642,8192,8192,422.391100,279.443900,447.714000
642,1024,8192,55.235800,35.897100,234.256300
642,8192,28672,332.144500,240.757300,391.198100
642,14336,4096,339.625300,371.047300,440.089600
642,4096,14336,210.019000,142.515900,395.766400
642,4096,4096,165.707300,134.953500,264.133400
642,1024,4096,42.074100,33.180800,191.364500
706,14336,4096,373.482000,397.447600,477.867300
706,4096,14336,222.884400,152.969500,306.908600
706,4096,4096,183.639000,143.176600,290.896000
706,1024,4096,48.543900,36.295400,186.036200
20512,5760,2880,715.603500,574.235500,560.030300
20512,2880,2880,665.889400,532.288400,581.355100
641,4096,2880,142.670600,145.199600,285.953700
641,2880,4096,117.233200,91.311000,266.494500
641,512,2880,18.533200,18.841700,83.657500
41024,641,64,,34.124600,83.677100
41024,64,641,,5.362400,97.704100
